uid,Specialization (3),Grad Date (4),Organization (8),Organization Department (9),Position Title (10),Position Type (11),City (12),State (Country) (12),Type of Organization/Industry (14),Employment Responsibilities (16),Most valueable SI skills/experience (22),Coursework relevance (23),Most important skills for job (24),Internship while at SI (25),Level of value from internship (26),Ideal Position (28),Salary,Background
1077,MSI/ICD,9-Dec,Syntel Inc,IT Consulting,Business Architect,Professional Permanent - Full Time,Phoenix,AZ,Consulting,"Business Analysis/Development, Consulting","All ICD courses especially Information Economics, E-Commerce and Contracting and signaling",Somewhat Relevant,"The projects, team work, and practical assignments","Yes, Deloitte & Touche",Extremely,8,,Education
1104,MSI/ARM,9-Apr,Dickinson State University,Theodore Roosevelt Center,Coordinator/Archivist,Professional Permanent - Full Time,Dickinson,ND,"Museum/Historical Society, University/College","Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Metadata & Taxonomy Creation/Management, Project Management",My skills which got my internship at the Smithsonian and at the Museum of Dentistry on campus work on their digital projects,Very relevant,"Project management, group work, metadata discussions, projects on metadata from Digital Preservation classes","Yes, Smithsonian Institute of Archives",Extremely,7,,Art
1121,MSI/ARM/IPOL,9-Apr,United States House of Representatives,Office of History and Preservation,Research Assistant,Professional Permanent - Full Time,Washington,DC,Government,Archives/Conservation,"My summer internship at the National Archives in the Center for Lesgislative Archives contributed to my selection for this position because my current office works closely with the Center, so I was familiar with the work they did, had met my current supervisor last summer, and my supervisor from my summer internship was able to provide a solid reference for me.",Very relevant,"Archival training, team work, research and writing, critical thinking, policy analysis/writing","Yes, ASB 2008--Office of General Counsel, NARA, ASB 2009--Veterans History Project, Library of Congress Summer Internship 2008--Center for Legislative Archive, NARA",Extremely,8,,Education
1122,MSI SC,9-May,Microsoft,Adcenter,Program Manager,ra,Redmond,WA,Computer: Software/Internet,"Project Management, Product Development",The entrepreneurship course was probably most helpful,Not very relevant,Probably the evaluation of systems and services methodology.  Some of the entrepreneurship as well should be important,"Yes, Troubadour Mobile",Extremely,5 - Satisfied,,Education
1149,MSI/ARM,9-May,Clements Library,Did not answer,Project Archivist,Professional Temporary - Full Time,Ann Arbor,MI,University/College,Archives/Conservation,"Access Systems for Archives, Preservation",Very relevant,"EAD, MARC, appraisal","Yes, Bentley Historical Library, UM Law Library",Extremely,9,,Education
1151,MSI/IEMP,9-May,Booz Allen Hamilton,Assurance and Resiliency,Tier 1 Consultant,Professional Permanent - Full Time,McLean,VA,Consulting,"Consulting, Information Security/Defense",Did not answer,Very relevant,"Information security incident analysis, enterprise information security planning, information security education.","Yes, Information Technology Industry Council",Neutral,10 - Extremely Satisfied,,Education
1166,MSI,9-Apr,Federal Reserve Bank of San Francisco,Public Information,Web Developer,Professional Temporary - Full Time,San Francisco,CA,Financial Services/Banking,"Website/Database/Information Systems Development, Usability (Human Factors Research/Information Architecture/Evaluation Design)",Excellent academic reputation,Very relevant,"All Human Computer Interaction related knowledge, (Information) Economics Knowledge","Yes, SAP Labs",Extremely,9,,Economics
1187,MSI/HCI,9-Dec,Thunderdome Media,,Web/Graphic Design,Professional Permanent- Full Time,Durbin,South Africa,Retail,,,,,,,,,Computer Science
1192,MSI/HCI,9-May,Capital One,IT Division,Systems Business Analyst,Professional Permanent - Full Time,Richmond,VA,Financial Services/Banking,"Business Analysis/Development, Usability","SI 682, 501, 622, semester internship at UM Library usability group, group work",Extremely Relevant,"Presenation skills, report writing, requirements analysis, usability analysis","Yes, IBM, UM Library Usability Working Group",Extremely,9,,Economics
1209,MSI/HCI,9-Apr,"Fuzzy Math, LLC",,Interaction Designer,Professional Permanent - Full Time,Chicago,IL,,,,,,,,,,Computer Science
1237,ARM/LIS,9-Apr,National Archives and Records Administration,Textual Records,Archives Technician,Professional Temporary - Full Time,College Park,MD,Government,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, and Records Preservation/Management",Did not answer,Extremely Relevant,Did not answer,"Yes, Gerald Ford Presidential Library",Extremely,6,,Computer Science
1243,MSI/HCI,9-Apr,University of Michigan ,English Language Institute,Research Assistant,Professional Temporary - Part Time,Ann Arbor,MI,Computer: Software/Internet,"Website/Database/Information Systems Development, Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), Incentive Centered Design","HCI Courses, especially 622",Very relevant,"Usability testing, presenting and graphic design","Yes, Borqs Technology Ltd",Moderately,3,,Computer Science
1245,MSI/IP,9-Apr,University of Michigan,Law Library,Associate Librarian,Professional Permanent - Full Time,Ann Arbor,MI,"Library: Academic, Library: Corporate/Special/Law",Library Services,Research and reference skills related to courses,Somewhat relevant,Teamwork and research skills,"Yes, UM Law Library",Extremely,10 - Extremely Satisfied,,Computer Science
1255,MSI/LIS,9-Apr,IRS,"Department of the Treasury, Office of Chief Counsel - Library Division",Librarian,Professional Permanent - Full Time,Washington,DC,Library: Government,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","As much as I hate to admit it, all of those forced group projects really helped me hone my organizational abilities.  Also, being exposed to a breadth of perspectives helped me be even more well-rounded",Very relevant,"It's difficult to say, because I don't exactly know what I'll be doing at my new job","Yes, Donald Hall Collection, US EPA",Moderately,4,,Library
14,hci,6-May,Microsoft,User Experience Researcher,,prof perm ft,Mountain View,CA,"corp: hardware, corp: software, corp: product design",,"participating in the CHI student design competition, learning about social technologies and courses",extremely,research methods,,,9,,Computer Science
21,lis,6-May,Procter & Gamble,Information Scientist,,prof perm ft,Cincinnati,OH,Corp: Special Library,,"group work, multi-disciplinary aspect of curriculum, courses",very,combination of technical and traditional library search skills,,,9,,Computer Science
52,iemp,6-May,American Library Association,Technology Policy Analyst,,prof perm ft,Washington,DC,Community Information/Technology Org,,,very,,,,9,,Computer Science
68,hci,6-Dec,Microsoft,Software Designer- Test,,prof perm ft,Redmond,WA,corp: software,,"intro to java, knowledge management, 501",somewhat,,,,9,,Computer Science
163,hci,6-Dec,Aspera Inc,Usability Engineer,,prof perm ft,Emeryville,CA,corp: software,,"class presentation, SI 622, information architecture",somewhat,social skills,,,5,,Computer Science
184,hci,6-May,Google,User Experience Researcher,,prof perm ft,Mountain View,CA,"Corp: web design, software, e-commerce",,group projects and specialization-specific courses,extremely,knowledge and competence in usability evaluation methods and user centered design principles,,,10,,English
199,tailored,6-Dec,freelance,Information Architect,,prof temp ft,Ann Arbor,MI,"corp: web design, corp: ecommerce corp: consulting",,practical courses taught by adjunct faculty were the best for me as I was entering to a professional practice.  ,somewhat,"Networking (and understanding of networks), understanding of relations between math and systems, confidence and believe in informaiton as a discipline, IA, problem solving",,,8,,Computer Science
217,hci,6-May,Lewis & Clark College- Masters in Education,Masters Student,,,Portland,OR,,,,,,,,,,Computer Science
271,iemp,6-Dec,The Gallup Organization,Consulting Specialist,,prof perm ft,Chicago,IL,Corp: Consulting,,cognates in economics classes,somewhat,,,,,,Computer Science
295,tailored,6-May,Internet Archive,Collections Manager,,prof perm ft,San Francisco,CA,"Corp: archive, digital archive",,degree and courses,very,that user advocacy is the whole point!,,,8,,Computer Science
340,tailored,6-May,St. Jude Medical Center,Human Factors Design Engineer,,prof perm ft,Los Angeles,CA,"Healthcare, corp: software, corp: product design",,"courses, internships, research design courses",extremely,"interviewing users, observation, design heuristics and best practices, teamwork, psychology principles, basic mockup skills",,,10,,English
434,tailored,,University of Michigan,,,prof perm ft,Ann Arbor,MI,university dept/service unit,,,,,,,,,English
441,lis,6-May,Northcentral University,eReference Librarian,,prof perm ft,Prescott Valley,AZ,academic library,,sql programming course because of the hands on experience,somewhat,"thinking through reference questions, SQL database course",,,10,,English
479,tailored,6-May,University of California San Diego,GIS Coordinator,,prof perm ft,La Jolla,CA,Academic Library,,All were important.  Reference class was a good foundation for the reference interview and resource identification,extremely,ability to understand the informaiton landscape and the myriad issues associated with technology/libraries/people,,,10,,English
496,hci,6-May,Global Educational Excellence,Technology Director,,prof perm ft,Ann Arbor,MI,corp: consulting,,foundations classes,extremely,,,,5,,English
501,arm,,Gale Group,,,prof perm ft,Farmington Hills,MI,corp: publishing,,,,,,,,,English
508,hci,6-May,University of Michigan-Industrial Operations & Engineering,PhD student,,,Ann Arbor,MI,,,,,,,,,,English
528,tailored,,Epic Systems,Technical Services Engineer,,prof perm ft,Madison,WI,"corp: healthcare, software",,,,,,,,,English
537,hci,6-May,Deloitte U.S. firms,Usability Engineer,,prof perm ft,Nashville,TN,corp: web design,,"mock interview at SI Career services and UM career center, career services workshops, career services advising, sochi job listing, UM career center",very,"internship, web design, usability",,,9,,English
559,hci,6-Dec,Google,User Experience Researcher,,prof perm ft,Mountain View,CA,"Corp: IT, Corp: e-commerce",,courses and internships,very,all skills gained in 622 and all of the HCI classes,,,7,,English
573,lis,6-May,National Security Archive,Indexing Librarian,,prof perm ft,Washington,DC,Public Archive,,courses,very,teamwork ,,,8,,English
738,tailored,6-Dec,Enlighten,Information Architect,,prof perm ft,Ann Arbor,MI,corp: web design,,"multiple usability internships, 622",very,understanding the importance of the user experience,,,9,,English
780,iemp,6-May,Michigan Administrative Information Systems MAIS,Business Systems Analyst,,prof perm ft,Ann Arbor,MI,university dept/service unit,,,somewhat,,,,8,,English
1095,tailored,6-May,University of Washington- School of Information,PhD student,,,,,,,,,,,,,,English
1101,iemp,6-Dec,Chevron Corporation,Information Management Consultant,,prof perm ft,Houston ,TX,corporation: consulting,,career services workshops,very,,,,8,,English
1195,hci,6-May,Lockheed Martin,Usability Specialist,,prof perm ft,Baltimore ,MD,corp: software,,"622, 682",very,working on project teams,,,10,,English
15,HCI,8-Apr,University of Michigan-Medical School,User Experience Designer,,Professional Permanent - Full Time,Ann Arbor,MI,,,,,,,,,,English
45,HCI,8-Apr,Bravo Health,Health Services Training and Development Specialist,,Professional Permanent - Full Time,Philadelphia,PA,Did not answer,3-4 months,Did not answer,"Yes, Ford Motor Company",Moderately,6,Yes,,"$55,500 ",English
60,HCI,8-Apr,"Logistics Innovation Agency, U.S. Army",Logistics Management Specialist (Intern),,Professional Permanent - Full Time,New Cumberland,PA,Evaluate technology and business processes,"SI iTrack, contacts (personal and/or professional) and the presentation on PMF program",9,YES,,,,,"$39,795 ",English
69,LIS,8-Apr,Chicago Public Library,Special Project Librarian,,Professional Permanent - Full Time,Chicago,IL,Did not answer,Less than 1 month,Did not answer,"Yes, Chicago Public Library",Extremely,7,YES,,"$50,000 ",English
90,MSI/HCI,8-Dec,Self-employed,Did not answer,,Did not answer,Did not answer,"Kolkata, India","Financial Services/Banking, Engineering",Business Analysis/Development,None,"Not at all relevant, I'm in a managerial role","Diversity, ability to interact with different people","Yes, Onward Research & Innovation",Neutral,3,,Library
111,ARM,8-Apr,Missouri History Museum,"Associate Archivist, Digitization",,Professional Permanent - Full Time,St. Louis,MO,"Editor, Industrial Quick Search",3-4 months,Knowledge of metadata standards and digital preservation,"Yes, City of Ann Arbor (Energy Dept)",Moderately,8,Yes,,"$30,000 ",Library
175,MSI/HCI,8-Dec,HSN (Home Shopping Network?),Product Management,,Associate Product Manager (User Experience),Professional Permanent - Full Time,"St. Petersburg, FL",Arts/Entertainment,E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis,Internships,Extremely Relevant,All skills related to HCI like Adobe Suite and Contextual Inquiry,"Yes, Enterprise Rent-A-Car, Yahoo, Fry Inc, and Adler Planetarium",Extremely,8,,Library
185,IEMP,8-Apr,School of Information - U of M,PhD Student,,Student,Ann Arbor,MI,"GSI, reasearch assistant, as my advisor demands","Internet sites, contacts (professional and/or personal), and professors",10 (Extremely Satisfied),YES,,,,,"$23,000 ",Library
263,LIS,8-Apr,University of North Carolina (Chapel Hill),City & Regional Planning Librarian,,Professional Permanent - Full Time,Chapel Hill,NC,Did not answer,"Si iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal), and listservs",10 (Extremely Satisfied),YES,,,,,"$45,000 ",Library
355,ARM,8-Apr,University of California Berkeley,PhD Student,,Student,Berkeyley,CA,Student,Did not answer,10 (Extremely Satisfied),YES,,,,,"$22,000 ",Library
363,MSI Tailored,8-Apr,Ann Arbor Hands-on Museum,"Evaluation, PR & Grants Specialist",,Professional Permanent - Full Time,Ann Arbor,MI,Did not answer,9-10 months,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,,"$24,000 ",Library
390, HCI,8-Dec,urturn.com LLC,Did not answer,,Usability and Design Consultant,Professional Temporary - Full Time,"Ann Arbor, MI",Computer: Software/Internet,"Consulting, Website/Database/Information Systems Development, Usability, Product Development","SI 682, 522, 501 and 520",Extremely Relevant,Did not answer,"Yes, Hitachi, ProQuest, UM Medical School",Extremely,4,,Library
446,ARM,8-Apr,Columbia University (Rare Book and Manuscript Library),Processing Archivist,,Professional Permanent - Full Time,New York,NY,"Process manuscript collections, train and supervise support staff and students and serve on university library committees","SI iTrack, Internet sites and listservs",9,YES,,,,,"$51,500 ",Library
489,HCI,8-Apr,Microsoft Research,Assistant Researcher,,Professional Permanent - Full Time,"Bangalore, Karnataka",India,Software Developer,3-4 months,"Research skills (observations, evaluations, etc.), presenation skills, and analytical skills","Yes, Did a research projet w/Professor Lada Adamic and also worked on a project with John Deere through her",Moderately,10 - Extremely Satisfied,YES,,Not allowed to share,Library
564,LIS,8-Apr,San Jose Public Library,Librarian I,,Professional Permanent - Full Time,San Jose,CA,"Reference and reader's advisory, public programming and outreach","SI iTrack, internet sites, and listservs",8,YES,,,,,"$60,700 ",Library
566,HCI,8-Apr,Oracle,Usability Engineer Intern,,Professional Temporary-Full Time,San Francisco,CA,,,,,,,,,,Library
583,IEMP,8-Apr,Silicon Storage Technology,Business Analyst ,,Professional Permanent - Full Time,San Francisco,CA,,,,,,,,,,Library
623,LIS,8-Apr,Columbia University (Arthur Diamond Law Library),Electronic Resources Librarian,,Professional Permanent - Full Time,New York,NY,"Maintain access to electronic resources for law school community, implement library purchased software systems, and provide leadership in new technologies for the law library",Internet sites and contacts (professional and/or personal) ,10 (Extremely Satisfied),Did not answer,,,,,"$55 - $65,000",Library
643,ARM,8-Apr,National Archives and Records Administration,Archives Technician,,Professional Permanent - Full Time,College Park,MD,Did not answer,9-10 months,Did not answer,"Yes, I took the archives practicum and interned at the Bentley Historical Library.  I took part in ASB projects at the National Museum of the American Indian Cultural Resource Center and at the National Archives and Records Administration's Office of Presidential Libraries",Neutral,3,No,,"$33,269 ",Library
686,LIS,8-Apr,University of Michigan Library,Special Projects Librarian,,Professional Temporary - Full Time,Ann Arbor,MI,"Donor Relations Writer, Boston University",11-12 months,"Project management, communicating in a group project setting, general knowledge of library operations, basic programming ability/knowledge, knowledge of technical services/ILS systems","Yes, UM Law Library",Extremely,9,Yes,,"$43,500 ",Library
698,ARM,8-Apr,Duke University,archivist,,Did not answer,Durham,NC,,9-10 months,"Cataloging, EAD, web archiving, appraisal and electronic records management","Yes, Gerald R. Ford Presidential Library 2006-2008 and the Fort Hare trip with David Wallace in Summer 2007",Extremely,5 - Satisfied,YES,,"$31,750 ",Library
745,IP,8-Apr,Information Services Group,Data Targeting Associate,,Professional Permanent - Full Time,Portland,OR,"Run data analysis on voters and voter actions for progressive organizations, come up with technology solutions to automate reporting and enable better voter outreach and provide training and support on voter targeting software for partner organizations","SI iTrack, internet sites, contacts (personal and/or professional), UM career center (job fairs, on-campus interviewing, Mployment Link) and listservs ",8,YES,,,,,"$50,000 ",Library
751,MSI/MSW,8-Dec,University of Michigan,School of Information,,Research Intern,Professional Temporary - Full Time,"Ann Arbor, MI",University/College,"Community Information/Technology, project management and research",Community Information Corps Seminar,Extremely Relevant,"Contextual Design Skills, expertise on Social Networking sites and CSCW tools","Yes, UofM Office of the Provost, UofM Ross School of Business",Extremely,10 - Extremely Satisfied,,Library
775,LIS,8-Apr,University of Texas at Arlington,"Librarian for Communication, English and History",,Professional Permanent - Full Time,Arlington,TX,Did not answer,3-4 months,"Comfort with technology, awareness of information architecture","Yes, ULA - Hatcher Graduate Library",Extremely,9,YES,,"$42,000 ",Library
794,HCI,8-Apr,Enlighten,Information Architect,,Professional Permanent - Full Time,Ann Arbor,MI,"Collect data on user and client needs for web design, communicate design ideas to clients and developers and create blueprints and wireframes so that developers can build the website","SI iTrack, on-campus interviewing (through SI), contacts (professional and/or personal) and expoSItion",9,YES,,,,,"$60,000 ",Computer Science
813,SC,8-Apr,Microsoft Corporation,User Experience Research,,Professional Permanent - Full Time,Seattle,WA,N/A,"SI iTrack, on-campus interviewing (through SI), Contacts (Professional and/or Personal)",10 (Extremely Satisfied),YES,,,,,"$80-$85,000",English
845,ARM,8-Apr,Arizona State University,Project Archivist,,Professional Temporary - Full Time,Tempe ,AZ,N/A,7-8 months,"Information Management, general knowledge of Archival practices and experience with EAD","Yes, The Coca-Cola Company, The William L. Clements Library",Extremely,9,YES,,"$43,000 ",Art
864,HCI,8-Apr,Blackbaud,Interaction Designer II,,Professional Permanent - Full Time,Charleston,SC,Did not answer,3-4 months,"Solid design principles, ability to both give and take constructive critique, and understanding the implications of usability","Yes, BioMedWare, Inc",Moderately,2,YES,,"$67,000 ",Art
865,hci,8-Apr,University of Michigan-Marketing & Design,Web Project Manager,,Professional Permanent - Full Time,Ann Arbor,MI,,,,,,,,,,Art
866,HCI,8-Apr,Third Coast Interactive,Owner,,Professional Permanent - Full Time,Milwaukee,WI,Did not answer,Did not answer,Did not answer,NO,,,,,Did not answer,Art
867,ARM,8-Apr,New York Public Library,Assistant Field Service Librarian,,Professional Permanent - Full Time,New York,NY,"Graduate Student Instructor, UM Art & Design",5-6 months,"Flexibility/grasp of how to work independently and with busy people who are hard to reach, fluency with current technologies and their place in contemporary society (in the cultural heritage sector as well as other non-profit and for profit contexts), and the ability to build on foundation of specialized knowledge relevant to the preservation division as well as the library as a whole","Yes, The University Archives at the University of Fort Haire (Alice, South Africa)",Extremely,9,YES,,"$40,000+",Art
879,LIS,8-Apr,University of Michigan (Hatcher Graduate Library),Public Services Librarian,,Professional Temporary - Full Time,Ann Arbor,MI,"In-person reference services, virtual reference services and technology consultations","SI iTrack, internet sites, contacts (personal and/or professional), UM career center (job fairs, on-campus interviewing, Mployment Link), other journals/newspapers and listservs ",3,YES,,,,,"$42,000 ",Art
891, HCI,8-Apr,Stanford University,Data Specialist,,Professional Permanent - Full Time,Palo Alto,CA,Did not answer,11-12 months,"I understand better how organizations work, and that's helpful for somebody without prior full-time corporate or academic job experience","Yes, IBM",Neutral,7,Yes,,"$43,000 ",Art
921,arm,8-Apr,Nebraska Historical Society,,,Professional Permanent - Full Time,,Nebraska,,,,,,,,,,Art
985,ARM,8-Apr,Nuclear Regulatory Commission,Records Management Specialist,,Professional Permanent - Full Time,Rockville,MD,"Store Manager, KB Toys",More than 12 months (14 months),"Scanning, Digitization, Archiving and RM theory, Process development, Ehics and Technology","Yes, Buhr Conservation Facility",Neutral,7,Yes,,"$58,000 + bonus",Art
1022,Tailored,8-Apr,ADR Chambers,Executive Director,,Professional Permanent - Full Time,Toronto,Ontario (Canada),"Deputy SG, Permanent Court of Arbitration ",11-12 months,"Organization needs assistance with information flows and to set up case management and other systems to automate various work processes, store and share (digital) information.  The technology is here, but people are not on board, so user-centered SI approach, as well as digital life-cycle and database skills are proving extremely useful.","Yes, Office of Legal Counsel (Crow Nation, Montana)",Minimally,5 (Satisfied),YES,,"$85,000 ",Art
1091,LIS,8-Apr,ProQuest,Content Acquisitions Specialist,,Professional Permanent - Full Time,Ann Arbor,MI,"Use tracking tools and internal databases to monitor currency and completeness of assigned journal titles, communicate within the organization and with outside publishers to acquire content, and monitoring/maintaining internal databases","SI iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal) and other journals/newspapers",3,YES,,,,,"$34,000 ",Library
1100,ARM,8-Apr,"Detroit Public Library, National Automotive History",Librarian II,,Professional Permanent - Full Time,Detroit,MI,"Assisting patrons/researchers at reference desk, Process collections, and assist patrons with email/phone inquiries","SI iTrack, contacts (personal and/or professional) ",9,YES,,,,,"$47,000 ",Art
1105,ARM,8-Apr,Earlham College,Assistant Archivist,,Professional Permanent - Full Time,Richmond,IN,"Arrangement and description of manuscript collections, EAD Finding aid creation, working with IT/librarians in digitization projects",Internet sites and listservs,10 (Extremely Satisfied),YES,,,,,"$38,000 ",Art
1143,MSI,8-Dec,University of Michigan,Housing Information Technology Office ,,Senior Network Administrator,Professional Permanent - Full Time,"Ann Arbor, MI",University/College,"Website/Database/Information Systems Development, Website/Database/Information Systems Administration, Intellectual Property",My knowledge related to the information economy and intellectual property proved useful in obtaining my current position,Somewhat Relevant,The overall breadth of knowledge and information I gained by taking classes at SI has helped me tremendously at my current position,NO,N/A,7,,Art
1145,IP,8-Apr,American Library Association,Information Techology Policy Analyst,,Professional Permanent - Full Time,Washington ,DC,Did not answer,1-2 months,Did not answer,"Yes, Creative Commons",Extremely,7,YES,,"$40 - $50,000",Art
1155,LIS,8-Apr,Baker University,Electronic Services/ Government Documents Librarian,,Professional Permanent - Full Time,Baldwin City ,KS,"FDLP collection coordinator, electronic services manager, and liason to various consortia","SI iTrack, on-campus interviewing (through SI), contacts (professiona and/or personal), and listservs",9,YES,,,,,"$40,000 ",Art
1232,HCI/IEMP,8-Apr,Yahoo!,Mobile Interaction Designer,,Professional Permanent - Full Time,Sunnyvale,CA,Design for Yahoo!  Mobile products,"Si iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal), UM Career Center and listservs",9,YES,,,,,"$70,000 ",Art
1236,ARM,8-Apr,Johns Hopkins University,Digital Archivist,,Professional Temporary - Full Time,Baltimore,MD,"SAA, ARMA",1-2 months,"Technology, problem solving and research abilities","Yes, Abbott Laboratories",Neutral,3,YES,,"$50,000 ",Computer Science
